https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AR,Volume BUSD,tradecount
1691020800000,2023-08-03,ARBUSD,5.33,5.41,5.23,5.26,5847.8,31109.7453,366
1690934400000,2023-08-02,ARBUSD,5.57,5.59,5.26,5.35,12398.35,67236.4957,711
1690848000000,2023-08-01,ARBUSD,5.46,5.57,5.27,5.57,15761.62,85331.2583,563
1690761600000,2023-07-31,ARBUSD,5.48,5.57,5.39,5.45,5456.57,29833.0681,348
1690675200000,2023-07-30,ARBUSD,5.61,5.64,5.33,5.5,10975.08,60620.3888,667
1690588800000,2023-07-29,ARBUSD,5.63,5.67,5.56,5.6,10237.67,57278.9357,470
1690502400000,2023-07-28,ARBUSD,5.62,5.75,5.62,5.63,6893.62,39227.1686,593
1690416000000,2023-07-27,ARBUSD,5.6,5.8,5.58,5.63,7736.98,43867.075,676
1690329600000,2023-07-26,ARBUSD,5.62,5.72,5.49,5.64,8803.38,49220.1125,820
1690243200000,2023-07-25,ARBUSD,5.65,5.69,5.56,5.6,9642.02,54160.4398,606
1690156800000,2023-07-24,ARBUSD,6.14,6.16,5.63,5.68,19428.7,113666.8934,1521
1690070400000,2023-07-23,ARBUSD,5.92,6.24,5.91,6.14,25385.44,154865.7444,1565
1689984000000,2023-07-22,ARBUSD,5.89,6.03,5.84,5.9,10067.06,60011.9181,824
1689897600000,2023-07-21,ARBUSD,5.93,6.11,5.86,5.89,16917.17,101007.8902,1353
1689811200000,2023-07-20,ARBUSD,5.67,6.13,5.65,5.92,37020.03,218322.4794,2716
1689724800000,2023-07-19,ARBUSD,5.68,5.8,5.65,5.68,10543.8,60287.1511,818
1689638400000,2023-07-18,ARBUSD,5.73,5.77,5.55,5.68,13254.26,75024.7771,757
1689552000000,2023-07-17,ARBUSD,5.65,5.77,5.51,5.71,17352.8,98238.577,1374
1689465600000,2023-07-16,ARBUSD,5.98,6.0,5.63,5.67,10958.5,63826.5899,726
