https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ATOM,Volume USDT,tradecount
1766880000000,2025-12-28,ATOMUSDT,2.08,2.112,2.055,2.074,976612.96,2036392.1091,14105
1766793600000,2025-12-27,ATOMUSDT,2.047,2.099,2.029,2.08,1145541.13,2359500.21892,12823
1766707200000,2025-12-26,ATOMUSDT,1.957,2.06,1.951,2.048,1108972.13,2244536.36928,17271
1766620800000,2025-12-25,ATOMUSDT,1.982,2.027,1.955,1.957,1255280.3,2507274.84244,15189
1766534400000,2025-12-24,ATOMUSDT,1.971,1.994,1.916,1.982,1263819.33,2463687.91069,16650
1766448000000,2025-12-23,ATOMUSDT,1.95,2.001,1.918,1.971,1365990.62,2673403.59318,20129
1766361600000,2025-12-22,ATOMUSDT,1.943,2.0,1.923,1.95,1353134.86,2655310.32813,18893
1766275200000,2025-12-21,ATOMUSDT,1.983,1.996,1.907,1.942,830050.68,1612940.65222,14186
1766188800000,2025-12-20,ATOMUSDT,1.966,2.004,1.959,1.983,862183.82,1705287.62411,12548
1766102400000,2025-12-19,ATOMUSDT,1.853,1.991,1.846,1.965,2522513.85,4803242.02975,25261
1766016000000,2025-12-18,ATOMUSDT,1.944,1.974,1.832,1.852,3785200.17,7210286.61453,40375
1765929600000,2025-12-17,ATOMUSDT,2.001,2.094,1.923,1.944,2741443.53,5481092.45159,34699
1765843200000,2025-12-16,ATOMUSDT,2.051,2.071,1.989,1.999,2450554.25,4977882.44414,31434
1765756800000,2025-12-15,ATOMUSDT,2.103,2.165,2.002,2.05,1700469.8,3561614.62723,24145
1765670400000,2025-12-14,ATOMUSDT,2.184,2.191,2.082,2.103,1282212.36,2742662.3522,14707
1765584000000,2025-12-13,ATOMUSDT,2.141,2.195,2.139,2.183,775387.84,1686408.22492,11827
1765497600000,2025-12-12,ATOMUSDT,2.185,2.206,2.071,2.14,2111887.25,4515594.43841,27184
1765411200000,2025-12-11,ATOMUSDT,2.268,2.272,2.16,2.185,2109669.24,4623343.39115,25357
1765324800000,2025-12-10,ATOMUSDT,2.327,2.373,2.246,2.267,2866499.63,6560145.95239,35088
1765238400000,2025-12-09,ATOMUSDT,2.249,2.421,2.195,2.325,1879614.44,4369148.09527,31429
1765152000000,2025-12-08,ATOMUSDT,2.18,2.271,2.174,2.249,1242134.03,2779436.41298,19839
1765065600000,2025-12-07,ATOMUSDT,2.238,2.249,2.134,2.18,1110822.23,2435983.00239,17306
1764979200000,2025-12-06,ATOMUSDT,2.198,2.283,2.185,2.239,1012086.74,2255069.47842,15299
1764892800000,2025-12-05,ATOMUSDT,2.311,2.338,2.15,2.197,1530157.73,3429174.44222,28255
1764806400000,2025-12-04,ATOMUSDT,2.394,2.408,2.284,2.311,1229459.71,2889536.30779,18833
1764720000000,2025-12-03,ATOMUSDT,2.366,2.417,2.311,2.393,1907744.66,4520315.37831,29701
1764633600000,2025-12-02,ATOMUSDT,2.269,2.432,2.246,2.365,1665201.61,3876698.0055,24199
1764547200000,2025-12-01,ATOMUSDT,2.376,2.385,2.14,2.268,3357509.11,7570862.14157,50025
1764460800000,2025-11-30,ATOMUSDT,2.427,2.454,2.371,2.376,903157.66,2186573.06585,15012
1764374400000,2025-11-29,ATOMUSDT,2.439,2.455,2.389,2.427,946416.05,2290222.71323,15238
1764288000000,2025-11-28,ATOMUSDT,2.52,2.544,2.427,2.439,1157367.08,2870986.50943,21133
1764201600000,2025-11-27,ATOMUSDT,2.525,2.556,2.5,2.52,1233291.16,3116425.85145,18418
1764115200000,2025-11-26,ATOMUSDT,2.469,2.561,2.434,2.524,1565015.41,3894865.4133,22038
1764028800000,2025-11-25,ATOMUSDT,2.501,2.532,2.414,2.467,1349609.29,3343272.19349,21135
1763942400000,2025-11-24,ATOMUSDT,2.497,2.547,2.384,2.501,2517664.77,6199290.61612,35767
1763856000000,2025-11-23,ATOMUSDT,2.515,2.569,2.483,2.497,1827029.99,4624137.88477,35110
1763769600000,2025-11-22,ATOMUSDT,2.514,2.533,2.438,2.514,1640766.93,4073856.72019,37562
1763683200000,2025-11-21,ATOMUSDT,2.738,2.826,2.446,2.515,3567957.85,9290578.1272,84950
1763596800000,2025-11-20,ATOMUSDT,2.731,3.141,2.719,2.739,7155653.47,21174368.68207,129105
1763510400000,2025-11-19,ATOMUSDT,2.759,2.789,2.619,2.733,1686255.33,4567002.67029,44504
1763424000000,2025-11-18,ATOMUSDT,2.707,2.822,2.667,2.76,2500795.14,6842570.71619,56048
1763337600000,2025-11-17,ATOMUSDT,2.767,2.914,2.686,2.708,2486356.26,6958448.50695,59761
1763251200000,2025-11-16,ATOMUSDT,2.854,2.883,2.696,2.766,1625065.42,4527529.36531,39929
1763164800000,2025-11-15,ATOMUSDT,2.801,3.0,2.798,2.854,1646632.7,4791595.44665,37479
1763078400000,2025-11-14,ATOMUSDT,2.867,2.914,2.75,2.8,2521948.63,7164949.1798,63846
1762992000000,2025-11-13,ATOMUSDT,2.891,3.016,2.768,2.867,1997335.07,5811119.0954,36224
1762905600000,2025-11-12,ATOMUSDT,2.942,3.114,2.861,2.891,1987555.85,5938543.50506,31552
1762819200000,2025-11-11,ATOMUSDT,3.109,3.156,2.936,2.942,2261103.87,6876646.84982,63297
1762732800000,2025-11-10,ATOMUSDT,2.972,3.155,2.95,3.108,2448109.42,7465231.94485,42328
1762646400000,2025-11-09,ATOMUSDT,2.954,3.002,2.835,2.972,4223386.59,12254420.86318,49024
1762560000000,2025-11-08,ATOMUSDT,3.05,3.157,2.889,2.953,3263202.0,9817766.58377,53312
1762473600000,2025-11-07,ATOMUSDT,2.649,3.199,2.646,3.051,5985747.4,17276469.17643,75936
1762387200000,2025-11-06,ATOMUSDT,2.667,2.679,2.534,2.648,2334384.95,6093371.6292,30273
1762300800000,2025-11-05,ATOMUSDT,2.507,2.685,2.407,2.667,2875453.73,7423188.78415,42115
1762214400000,2025-11-04,ATOMUSDT,2.507,2.641,2.346,2.507,6563022.2,16408008.28373,106720
1762128000000,2025-11-03,ATOMUSDT,3.055,3.064,2.471,2.506,6968968.32,18669733.04437,83223
1762041600000,2025-11-02,ATOMUSDT,3.029,3.078,2.952,3.054,1640359.9,4943979.42622,21480
1761955200000,2025-11-01,ATOMUSDT,2.963,3.047,2.946,3.03,1250437.67,3758515.436,15703
1761868800000,2025-10-31,ATOMUSDT,2.951,3.033,2.936,2.962,1958140.69,5853052.54568,24672
1761782400000,2025-10-30,ATOMUSDT,3.096,3.154,2.854,2.951,2460747.52,7342500.66632,46178
1761696000000,2025-10-29,ATOMUSDT,3.098,3.177,3.036,3.095,1680198.62,5224430.23176,32782
1761609600000,2025-10-28,ATOMUSDT,3.179,3.218,3.034,3.098,1915460.79,6032057.23849,24779
1761523200000,2025-10-27,ATOMUSDT,3.255,3.286,3.159,3.178,1363288.78,4392375.79734,23080
1761436800000,2025-10-26,ATOMUSDT,3.151,3.283,3.117,3.254,1348242.77,4319529.64516,19500
1761350400000,2025-10-25,ATOMUSDT,3.185,3.197,3.136,3.15,752703.33,2378496.50064,12155
1761264000000,2025-10-24,ATOMUSDT,3.183,3.226,3.127,3.186,1742604.22,5527943.86698,25047
1761177600000,2025-10-23,ATOMUSDT,3.115,3.235,3.109,3.182,1242261.4,3938681.74584,21138
1761091200000,2025-10-22,ATOMUSDT,3.188,3.226,3.028,3.114,1983645.17,6238396.28467,48369
1761004800000,2025-10-21,ATOMUSDT,3.273,3.373,3.17,3.188,2397495.25,7838158.42939,37350
1760918400000,2025-10-20,ATOMUSDT,3.229,3.326,3.179,3.273,1706414.88,5601739.73523,24479
1760832000000,2025-10-19,ATOMUSDT,3.186,3.293,3.116,3.228,1655400.27,5306151.28782,23225
1760745600000,2025-10-18,ATOMUSDT,3.152,3.234,3.143,3.185,977986.52,3118495.08543,17748
1760659200000,2025-10-17,ATOMUSDT,3.256,3.306,3.016,3.152,2585138.48,8141186.53797,42613
1760572800000,2025-10-16,ATOMUSDT,3.335,3.42,3.196,3.256,2296516.77,7626644.62761,35607
1760486400000,2025-10-15,ATOMUSDT,3.471,3.519,3.279,3.334,2138365.79,7264093.99797,34841
1760400000000,2025-10-14,ATOMUSDT,3.645,3.667,3.287,3.471,3811915.02,13084034.82237,63815
1760313600000,2025-10-13,ATOMUSDT,3.482,3.669,3.444,3.645,3483907.92,12361855.57295,72763
1760227200000,2025-10-12,ATOMUSDT,3.142,3.55,3.036,3.483,3856508.09,12746934.32115,113415
1760140800000,2025-10-11,ATOMUSDT,2.942,3.296,2.856,3.143,8685323.26,26688949.59649,269852
1760054400000,2025-10-10,ATOMUSDT,4.057,4.188,0.001,2.946,12048856.01,37601154.201408,420107
1759968000000,2025-10-09,ATOMUSDT,4.173,4.186,3.986,4.057,1798146.1,7272128.7739,41009
1759881600000,2025-10-08,ATOMUSDT,4.055,4.204,4.01,4.173,1473945.53,6062309.4268,39037
1759795200000,2025-10-07,ATOMUSDT,4.272,4.296,4.034,4.056,3137544.67,13002556.59463,65763
1759708800000,2025-10-06,ATOMUSDT,4.148,4.307,4.109,4.272,2007604.0,8447677.47947,46223
