https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ENJ,Volume USDT,tradecount
1768176000000,2026-01-12,ENJUSDT,0.02956,0.0303,0.02896,0.02917,10791332.2,318712.082262,4265
1768089600000,2026-01-11,ENJUSDT,0.03073,0.0309,0.02915,0.02959,8078703.3,243279.326408,4098
1768003200000,2026-01-10,ENJUSDT,0.03056,0.0317,0.0299,0.03073,7393442.2,228113.820269,4630
1767916800000,2026-01-09,ENJUSDT,0.03096,0.0312,0.02991,0.03055,13359302.2,407479.438306,8596
1767744000000,2026-01-07,ENJUSDT,0.03293,0.03299,0.03106,0.03139,9980346.1,317391.092262,4744
1767657600000,2026-01-06,ENJUSDT,0.03238,0.03332,0.03122,0.03298,16712546.5,542824.421459,6782
1767571200000,2026-01-05,ENJUSDT,0.03113,0.03263,0.02997,0.03236,14665118.5,458437.267477,5293
1767484800000,2026-01-04,ENJUSDT,0.03031,0.03165,0.03023,0.03113,14626161.0,452166.610297,4497
1767398400000,2026-01-03,ENJUSDT,0.03034,0.03081,0.02953,0.03026,9231677.3,277630.506132,3328
1767312000000,2026-01-02,ENJUSDT,0.02943,0.03038,0.02887,0.03026,14464468.0,425887.009369,4315
1767225600000,2026-01-01,ENJUSDT,0.02772,0.03055,0.02745,0.02943,27770945.9,815679.030986,7934
1767139200000,2025-12-31,ENJUSDT,0.02764,0.02846,0.02668,0.02773,14797147.0,407815.32048,4718
1767052800000,2025-12-30,ENJUSDT,0.02771,0.02782,0.02708,0.02767,8841053.5,243264.247894,2492
1766966400000,2025-12-29,ENJUSDT,0.02803,0.02869,0.02723,0.02772,9160855.5,255523.934127,2819
1766880000000,2025-12-28,ENJUSDT,0.02833,0.02876,0.02768,0.02803,8518198.2,241121.490935,2673
1766793600000,2025-12-27,ENJUSDT,0.02717,0.02844,0.02717,0.02825,13675917.5,380728.780297,3839
1766707200000,2025-12-26,ENJUSDT,0.0265,0.02752,0.02632,0.02718,8852032.8,239489.55772,2812
1766620800000,2025-12-25,ENJUSDT,0.02734,0.02795,0.02646,0.02649,11675954.4,318967.681986,3888
1766534400000,2025-12-24,ENJUSDT,0.02776,0.02777,0.02632,0.02733,7813533.0,210104.593287,2586
1766448000000,2025-12-23,ENJUSDT,0.02715,0.02777,0.02615,0.02773,13021745.4,351743.047194,3444
1766361600000,2025-12-22,ENJUSDT,0.02669,0.02771,0.02634,0.02718,10434841.4,283045.173418,3264
1766275200000,2025-12-21,ENJUSDT,0.02809,0.02809,0.02647,0.02667,10325811.2,280204.380527,2898
1766188800000,2025-12-20,ENJUSDT,0.02771,0.0285,0.02756,0.02811,7462155.5,208519.691419,2827
1766102400000,2025-12-19,ENJUSDT,0.0258,0.0279,0.02546,0.02767,11171310.0,299419.073371,5006
1766016000000,2025-12-18,ENJUSDT,0.02683,0.02776,0.02513,0.0258,20179612.6,529757.300552,9239
1765929600000,2025-12-17,ENJUSDT,0.02824,0.02877,0.02666,0.02679,16945064.8,468296.858458,5948
1765843200000,2025-12-16,ENJUSDT,0.02882,0.02887,0.02792,0.02828,11825450.4,334696.816346,3976
1765756800000,2025-12-15,ENJUSDT,0.03006,0.03046,0.02765,0.02881,23264987.8,677293.500832,7334
1765670400000,2025-12-14,ENJUSDT,0.03153,0.0316,0.02974,0.03004,11739700.3,359906.29601,3649
1765584000000,2025-12-13,ENJUSDT,0.03139,0.03173,0.03123,0.03155,7034886.9,221199.521846,2891
1765497600000,2025-12-12,ENJUSDT,0.03197,0.0322,0.03047,0.03134,14761936.4,463837.838276,5299
1765411200000,2025-12-11,ENJUSDT,0.0332,0.03329,0.03138,0.03196,20131015.5,644824.25564,8857
1765324800000,2025-12-10,ENJUSDT,0.03552,0.03566,0.0332,0.0332,39163064.8,1345161.586641,12251
1765238400000,2025-12-09,ENJUSDT,0.03291,0.03813,0.03266,0.03553,179983547.2,6427484.155185,62430
1765152000000,2025-12-08,ENJUSDT,0.03169,0.03316,0.0315,0.03296,12064509.0,394063.047819,4650
1765065600000,2025-12-07,ENJUSDT,0.03257,0.03292,0.03101,0.03172,12179428.2,390987.227941,3976
1764979200000,2025-12-06,ENJUSDT,0.03132,0.033,0.03131,0.03251,11424807.1,368587.945922,3985
1764892800000,2025-12-05,ENJUSDT,0.03162,0.03253,0.03041,0.03139,14695931.4,463763.0038,5600
1764806400000,2025-12-04,ENJUSDT,0.03249,0.03278,0.03113,0.03163,7203992.5,231500.863991,2871
1764720000000,2025-12-03,ENJUSDT,0.03156,0.03282,0.03116,0.03243,11399526.8,364393.452872,4827
1764633600000,2025-12-02,ENJUSDT,0.02969,0.03205,0.02926,0.03156,14122707.0,431048.330035,6474
1764547200000,2025-12-01,ENJUSDT,0.03146,0.03153,0.02866,0.02965,19376919.3,574553.409727,11244
1764460800000,2025-11-30,ENJUSDT,0.03212,0.03239,0.03144,0.03145,6952681.0,222725.451424,4899
1764374400000,2025-11-29,ENJUSDT,0.03286,0.03318,0.03177,0.03212,8209297.4,266651.270144,4934
1764288000000,2025-11-28,ENJUSDT,0.03392,0.03398,0.0326,0.03284,6832997.1,227331.480475,3518
1764201600000,2025-11-27,ENJUSDT,0.03356,0.03458,0.03331,0.03394,11575245.9,392867.710449,7501
1764115200000,2025-11-26,ENJUSDT,0.03384,0.03396,0.03274,0.03355,14649055.2,488044.705517,4543
1764028800000,2025-11-25,ENJUSDT,0.03401,0.03419,0.03287,0.03384,7284827.1,245134.285734,3236
1763942400000,2025-11-24,ENJUSDT,0.03302,0.03452,0.03225,0.03397,15291545.5,510673.702996,5016
1763856000000,2025-11-23,ENJUSDT,0.03296,0.03358,0.03283,0.03307,9895069.2,328428.624615,4450
1763769600000,2025-11-22,ENJUSDT,0.03303,0.0335,0.03192,0.03298,14112987.0,461127.521388,5299
1763683200000,2025-11-21,ENJUSDT,0.03431,0.03532,0.03132,0.03303,27345963.6,901686.057033,9869
