https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SAND,Volume USDT,tradecount
1771804800000,2026-02-23,SANDUSDT,0.0816,0.0821,0.0766,0.0786,15586806.0,1232147.9181,7288
1771718400000,2026-02-22,SANDUSDT,0.0842,0.0844,0.0806,0.0816,11198913.0,925759.8237,6776
1771632000000,2026-02-21,SANDUSDT,0.0848,0.087,0.0842,0.0842,7626708.0,652721.4694,5152
1771545600000,2026-02-20,SANDUSDT,0.0826,0.0856,0.0808,0.0848,12151166.0,1017366.848,5686
1771459200000,2026-02-19,SANDUSDT,0.0842,0.0844,0.0793,0.0826,12323058.0,1006827.9058,5966
1771372800000,2026-02-18,SANDUSDT,0.0858,0.0883,0.0835,0.0842,8982862.0,771301.8679,4247
1771286400000,2026-02-17,SANDUSDT,0.0881,0.0884,0.0844,0.0858,7937692.0,683321.6436,5003
1771200000000,2026-02-16,SANDUSDT,0.0876,0.0889,0.0853,0.0881,10730352.0,934453.5475,5452
1771113600000,2026-02-15,SANDUSDT,0.092,0.0935,0.0859,0.0877,16164698.0,1447718.1799,6941
1771027200000,2026-02-14,SANDUSDT,0.0892,0.0934,0.0876,0.092,17055020.0,1539317.2391,7259
1770940800000,2026-02-13,SANDUSDT,0.0839,0.0903,0.0816,0.0892,16535948.0,1422084.2682,8107
1770854400000,2026-02-12,SANDUSDT,0.0827,0.0869,0.081,0.084,16233910.0,1362791.0067,10399
1770768000000,2026-02-11,SANDUSDT,0.0849,0.086,0.0804,0.0826,20023660.0,1653226.533,13724
1770681600000,2026-02-10,SANDUSDT,0.0875,0.0885,0.0846,0.0849,13474809.0,1157691.4419,8092
1770595200000,2026-02-09,SANDUSDT,0.0856,0.0895,0.0831,0.0874,24808518.0,2139597.8199,13182
1770508800000,2026-02-08,SANDUSDT,0.0887,0.0887,0.085,0.0856,19241678.0,1673473.4375,16667
1770422400000,2026-02-07,SANDUSDT,0.0859,0.0955,0.0843,0.0886,60947350.0,5526519.5237,28533
1770336000000,2026-02-06,SANDUSDT,0.0788,0.0895,0.0702,0.086,56822024.0,4519097.3419,29820
1770249600000,2026-02-05,SANDUSDT,0.0974,0.0979,0.0769,0.0787,68480682.0,5880756.5931,39766
1770163200000,2026-02-04,SANDUSDT,0.0986,0.1012,0.095,0.0973,21404066.0,2099687.5235,16713
1770076800000,2026-02-03,SANDUSDT,0.1025,0.1032,0.0943,0.0987,29929658.0,2974831.239,19897
1769990400000,2026-02-02,SANDUSDT,0.0996,0.1041,0.0964,0.1024,27962345.0,2802769.9676,18379
1769904000000,2026-02-01,SANDUSDT,0.1021,0.1037,0.097,0.0995,23786889.0,2394141.9718,17387
1769817600000,2026-01-31,SANDUSDT,0.1148,0.1148,0.0937,0.1021,54954544.0,5745699.643,39192
1769731200000,2026-01-30,SANDUSDT,0.1146,0.1169,0.1109,0.1148,28048048.0,3194570.4061,22010
1769644800000,2026-01-29,SANDUSDT,0.1232,0.1234,0.112,0.1145,32458342.0,3794067.9397,23802
1769558400000,2026-01-28,SANDUSDT,0.1286,0.1294,0.122,0.1232,23131824.0,2886821.3197,21383
1769472000000,2026-01-27,SANDUSDT,0.1327,0.1372,0.1247,0.1286,34912891.0,4544282.7839,38237
1769385600000,2026-01-26,SANDUSDT,0.1299,0.138,0.1277,0.1328,53522291.0,7150772.8848,51060
1769299200000,2026-01-25,SANDUSDT,0.1486,0.1489,0.1279,0.13,43179392.0,5980696.3292,57869
1769212800000,2026-01-24,SANDUSDT,0.159,0.1598,0.1472,0.1487,46449083.0,7098218.8842,47116
1769126400000,2026-01-23,SANDUSDT,0.1644,0.1774,0.1556,0.159,134310239.0,22067505.4366,136583
1769040000000,2026-01-22,SANDUSDT,0.1443,0.1734,0.1441,0.1645,175365026.0,28553523.6335,155940
1768953600000,2026-01-21,SANDUSDT,0.1381,0.1524,0.1359,0.1443,89284957.0,12948230.7571,84577
1768780800000,2026-01-19,SANDUSDT,0.1425,0.1426,0.1311,0.1358,59101028.0,8112746.928,42377
