https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume UNI,Volume USDT,tradecount
1769040000000,2026-01-22,UNIUSDT,4.94,4.995,4.772,4.836,2024747.34,9889382.43981,45580
1768953600000,2026-01-21,UNIUSDT,4.803,5.067,4.761,4.94,3914858.4,19196910.28855,104336
1768780800000,2026-01-19,UNIUSDT,5.095,5.097,4.62,5.026,6491538.45,32071877.56251,157662
1768694400000,2026-01-18,UNIUSDT,5.351,5.397,5.088,5.095,2597797.17,13732847.29812,80298
1768608000000,2026-01-17,UNIUSDT,5.316,5.446,5.305,5.352,1722418.8,9253422.55225,39009
1768521600000,2026-01-16,UNIUSDT,5.351,5.361,5.131,5.315,2862771.05,15091622.18985,68496
1768435200000,2026-01-15,UNIUSDT,5.681,5.685,5.226,5.35,5244768.55,28603288.09609,128504
1768348800000,2026-01-14,UNIUSDT,5.73,5.852,5.657,5.681,4165081.91,23973198.53527,117257
1768262400000,2026-01-13,UNIUSDT,5.368,5.806,5.349,5.73,4258129.24,23669668.65686,104721
1768176000000,2026-01-12,UNIUSDT,5.456,5.612,5.281,5.367,3523447.62,19217205.94621,88361
1768089600000,2026-01-11,UNIUSDT,5.476,5.539,5.377,5.456,2069844.73,11360821.89955,48932
1768003200000,2026-01-10,UNIUSDT,5.467,5.555,5.426,5.476,1921370.67,10549153.08458,42190
1767916800000,2026-01-09,UNIUSDT,5.489,5.635,5.35,5.467,5030488.54,27563743.64131,127276
1767744000000,2026-01-07,UNIUSDT,6.07,6.092,5.64,5.726,4486852.53,26164095.69038,136971
1767657600000,2026-01-06,UNIUSDT,6.163,6.315,5.843,6.07,7580246.88,46453850.13744,233614
1767571200000,2026-01-05,UNIUSDT,5.85,6.45,5.718,6.162,8355114.96,50050403.42591,222358
1767484800000,2026-01-04,UNIUSDT,5.916,6.023,5.768,5.85,4044610.88,23864551.50226,118698
1767398400000,2026-01-03,UNIUSDT,6.037,6.121,5.744,5.917,3516292.8,20702831.74026,95027
1767312000000,2026-01-02,UNIUSDT,5.808,6.101,5.672,6.038,3846969.8,22580698.18901,121866
1767225600000,2026-01-01,UNIUSDT,5.641,5.841,5.61,5.809,3091675.81,17633162.8201,68992
1767139200000,2025-12-31,UNIUSDT,5.926,5.978,5.623,5.64,2969257.05,17246532.149,77940
1767052800000,2025-12-30,UNIUSDT,5.995,6.044,5.895,5.926,3282679.1,19605544.38745,84288
1766966400000,2025-12-29,UNIUSDT,6.231,6.392,5.927,5.995,5754472.74,35315297.78476,154358
1766880000000,2025-12-28,UNIUSDT,5.967,6.569,5.934,6.23,8937875.96,55999201.97691,237859
1766793600000,2025-12-27,UNIUSDT,5.829,6.041,5.827,5.967,2940206.57,17493537.76997,78853
1766707200000,2025-12-26,UNIUSDT,5.814,6.037,5.73,5.829,4123253.53,24207681.38619,118403
1766620800000,2025-12-25,UNIUSDT,5.779,6.085,5.747,5.815,4240144.39,24947693.49557,110626
1766534400000,2025-12-24,UNIUSDT,5.811,5.888,5.593,5.778,4783714.28,27473129.07889,115590
1766448000000,2025-12-23,UNIUSDT,6.019,6.121,5.654,5.81,6700700.28,39326407.3973,164541
1766361600000,2025-12-22,UNIUSDT,6.117,6.416,5.914,6.018,7894519.12,48766586.70816,208840
1766275200000,2025-12-21,UNIUSDT,6.262,6.5,6.054,6.117,9824156.96,61255346.74337,277258
1766188800000,2025-12-20,UNIUSDT,5.318,6.378,5.253,6.262,13425520.88,79156989.98035,424753
1766102400000,2025-12-19,UNIUSDT,4.96,5.336,4.9,5.319,6271083.7,32209861.08029,151701
