https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MANA,Volume USDT,tradecount
1769904000000,2026-02-01,MANAUSDT,0.1144,0.1169,0.1095,0.112,10381474.0,1185181.3779,14753
1769817600000,2026-01-31,MANAUSDT,0.1253,0.1256,0.1035,0.1145,16730658.0,1904613.0765,20883
1769731200000,2026-01-30,MANAUSDT,0.1257,0.1275,0.1212,0.1253,16498396.0,2050426.3413,14008
1769644800000,2026-01-29,MANAUSDT,0.1358,0.1359,0.1231,0.1257,13862042.0,1780026.7388,14813
1769558400000,2026-01-28,MANAUSDT,0.141,0.1414,0.1341,0.1356,11404753.0,1564887.7929,13449
1769472000000,2026-01-27,MANAUSDT,0.1436,0.1472,0.137,0.1411,10580140.0,1492293.4576,13704
1769385600000,2026-01-26,MANAUSDT,0.1412,0.1494,0.1397,0.1437,15601766.0,2268425.8161,21532
1769299200000,2026-01-25,MANAUSDT,0.1565,0.1571,0.1381,0.1413,15380933.0,2275459.3815,20389
1769212800000,2026-01-24,MANAUSDT,0.1656,0.167,0.155,0.1564,14527179.0,2330165.7335,21342
1769126400000,2026-01-23,MANAUSDT,0.1684,0.1886,0.1646,0.1657,46423198.0,8083196.1792,64041
1769040000000,2026-01-22,MANAUSDT,0.1573,0.1785,0.1572,0.1683,57820678.0,9744154.4768,70565
1768953600000,2026-01-21,MANAUSDT,0.1516,0.1646,0.147,0.1573,51012440.0,7956161.1696,53078
1768780800000,2026-01-19,MANAUSDT,0.1527,0.1644,0.137,0.1592,53439512.0,8124949.2012,54098
1768694400000,2026-01-18,MANAUSDT,0.1646,0.1792,0.1527,0.1527,81481181.0,13477295.3167,111255
1768608000000,2026-01-17,MANAUSDT,0.1457,0.1743,0.1453,0.1646,74599055.0,12178858.0812,68166
1768521600000,2026-01-16,MANAUSDT,0.1447,0.1494,0.1387,0.1456,12177994.0,1755838.6402,14543
1768435200000,2026-01-15,MANAUSDT,0.1507,0.1511,0.1426,0.1447,11235387.0,1649830.7635,14308
1768348800000,2026-01-14,MANAUSDT,0.1489,0.1576,0.1482,0.1508,26407284.0,4028233.6692,28696
1768262400000,2026-01-13,MANAUSDT,0.1346,0.1513,0.134,0.1489,20689817.0,2995111.448,22933
1768176000000,2026-01-12,MANAUSDT,0.14,0.1447,0.1337,0.1346,14704355.0,2038161.9441,15653
1768089600000,2026-01-11,MANAUSDT,0.1462,0.1474,0.1385,0.1399,10952485.0,1573835.3762,11991
1768003200000,2026-01-10,MANAUSDT,0.1446,0.1498,0.1413,0.1461,12786982.0,1865972.5441,14778
