https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume YFI,Volume USDT,tradecount
1636848000000,2021-11-14,YFIUSDT,32720.39,34506.33,32715.31,33574.56,454.27555,15162890.2041531,69084
1636761600000,2021-11-13,YFIUSDT,32232.71,33070.7,32143.66,32703.73,265.78964,8676576.9083039,30375
1636675200000,2021-11-12,YFIUSDT,33700.0,35601.68,31701.5,32240.91,740.14379,24802623.337744,99475
1636588800000,2021-11-11,YFIUSDT,32932.06,34999.93,32557.56,33708.76,442.93457,15001431.1514108,74129
1636502400000,2021-11-10,YFIUSDT,34549.54,35840.8,32472.42,32950.51,665.99819,22890506.7969491,123653
1636416000000,2021-11-09,YFIUSDT,35658.63,35695.44,34446.66,34549.54,343.85897,12058181.2423573,69188
1636329600000,2021-11-08,YFIUSDT,35537.85,36414.41,35096.81,35641.29,443.85927,15849292.3145644,84271
1636243200000,2021-11-07,YFIUSDT,33877.73,35537.85,33453.1,35515.73,359.35873,12393245.4991819,60772
1636156800000,2021-11-06,YFIUSDT,34006.21,34027.12,32350.0,33860.61,297.38023,9878308.862743,45988
1636070400000,2021-11-05,YFIUSDT,33970.66,34410.62,33694.72,34006.21,229.08507,7813451.7026024,31642
1635984000000,2021-11-04,YFIUSDT,34691.8,34691.8,32500.0,33962.19,382.18657,12972827.195778,49798
1635897600000,2021-11-03,YFIUSDT,35021.15,35491.34,33689.0,34696.97,349.67812,12098830.3014725,63037
1635811200000,2021-11-02,YFIUSDT,34757.67,35371.0,34265.22,35016.14,312.22553,10851816.1446515,44034
1635724800000,2021-11-01,YFIUSDT,34117.69,35000.0,33255.0,34757.66,375.40349,12796599.8084827,50927
1635638400000,2021-10-31,YFIUSDT,33759.5,34318.26,33150.0,34123.58,302.52273,10220954.5941128,33867
1635552000000,2021-10-30,YFIUSDT,35053.75,35066.86,33423.1,33765.02,431.84759,14776196.1195781,35586
1635465600000,2021-10-29,YFIUSDT,34157.05,35562.0,34062.95,35053.75,430.46032,15051015.1596088,40343
1635379200000,2021-10-28,YFIUSDT,33924.52,35090.26,33332.78,34125.87,550.98726,18883411.2313021,44023
1635292800000,2021-10-27,YFIUSDT,37654.14,39554.29,33757.76,33926.44,1035.65145,37933996.5054268,94976
1635206400000,2021-10-26,YFIUSDT,34807.32,38842.29,34718.91,37655.76,936.96284,34600708.1640173,108338
1635120000000,2021-10-25,YFIUSDT,34519.62,35096.97,34350.0,34777.28,217.3704,7552932.924006,19683
1635033600000,2021-10-24,YFIUSDT,35790.28,35904.7,33951.69,34527.22,280.45966,9762247.3948726,32589
1634947200000,2021-10-23,YFIUSDT,34613.13,35823.67,34408.26,35790.28,409.68671,14457214.6236536,33826
1634860800000,2021-10-22,YFIUSDT,34314.57,34865.11,33513.39,34592.38,431.12809,14797422.4429426,33264
1634774400000,2021-10-21,YFIUSDT,36063.03,36628.77,34200.0,34295.69,539.80629,19095499.4910667,54429
