https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MKR,Volume USDT,tradecount
1752969600000,2025-07-20,MKRUSDT,1987.0,2105.0,1975.5,2016.9,8337.1996,16916999.89649,164573
1752883200000,2025-07-19,MKRUSDT,2016.8,2046.6,1947.5,1987.1,6592.5742,13189584.38004,121099
1752796800000,2025-07-18,MKRUSDT,1879.2,2267.0,1865.2,2016.8,26531.9299,55220141.0909,443008
1752710400000,2025-07-17,MKRUSDT,1913.4,1936.0,1823.1,1879.2,8708.7848,16405261.46518,199459
1752624000000,2025-07-16,MKRUSDT,1869.3,1977.2,1851.1,1913.4,7623.0527,14562965.62661,179426
1752537600000,2025-07-15,MKRUSDT,1851.1,1886.1,1804.9,1869.5,4278.7419,7902801.47327,111349
1752451200000,2025-07-14,MKRUSDT,1873.7,1938.3,1815.2,1851.0,5328.948,10045671.90325,128521
1752364800000,2025-07-13,MKRUSDT,1887.4,1905.6,1845.3,1873.9,2538.9018,4762178.42246,67797
1752278400000,2025-07-12,MKRUSDT,1895.9,1923.6,1811.0,1887.6,4119.1345,7683784.63741,105491
1752192000000,2025-07-11,MKRUSDT,2019.3,2054.7,1865.0,1896.1,7025.0117,13950000.33649,172674
1752105600000,2025-07-10,MKRUSDT,1956.5,2030.6,1937.1,2019.1,4918.8088,9756511.73136,111077
1752019200000,2025-07-09,MKRUSDT,1928.4,1976.1,1886.9,1956.4,3512.7142,6773045.7504,86801
1751932800000,2025-07-08,MKRUSDT,1897.6,1945.0,1865.0,1927.6,3099.7303,5899607.71727,85855
1751846400000,2025-07-07,MKRUSDT,1909.9,1917.8,1852.5,1897.7,2370.6788,4483467.01801,73739
1751760000000,2025-07-06,MKRUSDT,1837.2,1937.8,1806.8,1909.9,2953.9565,5493033.0564,75041
1751673600000,2025-07-05,MKRUSDT,1866.1,1882.9,1804.5,1837.0,2205.9926,4072958.60669,55012
1751587200000,2025-07-04,MKRUSDT,1940.0,1941.4,1818.5,1865.9,2786.3038,5208262.28558,88460
1751500800000,2025-07-03,MKRUSDT,1980.9,2005.7,1929.2,1938.4,3463.7696,6818613.61152,106487
1751414400000,2025-07-02,MKRUSDT,1838.4,2008.0,1815.5,1980.7,4080.6898,7818412.57551,128859
1751328000000,2025-07-01,MKRUSDT,1941.2,1963.0,1827.0,1838.5,2631.7872,4990138.53385,83415
1751241600000,2025-06-30,MKRUSDT,2030.9,2033.2,1913.0,1941.0,3967.0342,7767640.62013,109758
1751155200000,2025-06-29,MKRUSDT,1918.6,2035.7,1907.4,2030.7,3115.4521,6158897.0698,82070
1751068800000,2025-06-28,MKRUSDT,1896.8,1945.0,1872.3,1918.9,1780.7895,3397628.79653,38268
1750982400000,2025-06-27,MKRUSDT,1831.0,1913.2,1821.0,1896.6,2917.7424,5445297.0863,49104
1750896000000,2025-06-26,MKRUSDT,1898.0,1957.0,1809.0,1830.0,4007.2713,7521706.6427,45254
1750809600000,2025-06-25,MKRUSDT,1994.0,2022.0,1861.0,1898.0,4308.9445,8360708.271,43532
1750723200000,2025-06-24,MKRUSDT,1991.0,2073.0,1947.0,1994.0,5047.4373,10097673.8399,59462
1750636800000,2025-06-23,MKRUSDT,1750.0,2059.0,1716.0,1993.0,12453.9808,23299212.6952,95396
1750550400000,2025-06-22,MKRUSDT,1797.0,1810.0,1633.0,1751.0,5998.0586,10269913.0567,65021
1750464000000,2025-06-21,MKRUSDT,1850.0,1870.0,1735.0,1796.0,3828.447,6910662.9952,35609
1750377600000,2025-06-20,MKRUSDT,1915.0,1949.0,1805.0,1851.0,5122.2136,9664312.7396,52119
1750291200000,2025-06-19,MKRUSDT,2009.0,2056.0,1878.0,1914.0,5332.2324,10462811.4425,54086
1750204800000,2025-06-18,MKRUSDT,2023.0,2066.0,1913.0,2008.0,6869.1559,13612181.4498,64219
1750118400000,2025-06-17,MKRUSDT,2145.0,2257.0,1980.0,2023.0,9711.124,20475957.4771,92487
1750032000000,2025-06-16,MKRUSDT,2141.0,2314.0,2097.0,2145.0,10634.4052,23676224.1247,116699
1749945600000,2025-06-15,MKRUSDT,2081.0,2143.0,2032.0,2141.0,3310.0235,6925554.6122,37706
1749859200000,2025-06-14,MKRUSDT,2163.0,2168.0,2048.0,2080.0,6645.3068,14005451.4626,68319
1749772800000,2025-06-13,MKRUSDT,1985.0,2166.0,1787.0,2162.0,12719.0123,24720608.5463,130467
1749686400000,2025-06-12,MKRUSDT,2060.0,2122.0,1973.0,1985.0,5360.8204,10892311.7219,53442
1749600000000,2025-06-11,MKRUSDT,2145.0,2190.0,2031.0,2061.0,7483.0228,15924378.031,81489
1749513600000,2025-06-10,MKRUSDT,1945.0,2188.0,1922.0,2145.0,12296.6131,25511392.8276,143537
1749427200000,2025-06-09,MKRUSDT,1762.0,1954.0,1730.0,1944.0,5740.2709,10495642.0491,50869
1749340800000,2025-06-08,MKRUSDT,1766.0,1787.0,1727.0,1762.0,3638.4902,6409999.5328,37461
1749254400000,2025-06-07,MKRUSDT,1700.0,1788.0,1673.0,1767.0,4916.5566,8435579.2913,43971
1749168000000,2025-06-06,MKRUSDT,1731.0,1813.0,1689.0,1700.0,6844.5606,12038340.646,55250
1749081600000,2025-06-05,MKRUSDT,1777.0,1868.0,1693.0,1731.0,14846.6313,26343831.03,103730
1748995200000,2025-06-04,MKRUSDT,1870.0,1922.0,1771.0,1778.0,13596.3669,25133444.914,98197
1748908800000,2025-06-03,MKRUSDT,1740.0,1955.0,1731.0,1870.0,15552.269,28945690.0158,129675
1748822400000,2025-06-02,MKRUSDT,1604.0,1794.0,1563.0,1740.0,8825.625,14983798.6518,82478
1748736000000,2025-06-01,MKRUSDT,1572.0,1612.0,1545.0,1603.0,1322.9296,2085427.6805,11498
1748649600000,2025-05-31,MKRUSDT,1549.0,1589.0,1511.0,1570.0,2039.5525,3174266.6546,16524
1748563200000,2025-05-30,MKRUSDT,1652.0,1664.0,1530.0,1549.0,6198.61,9925923.3681,35807
1748476800000,2025-05-29,MKRUSDT,1716.0,1776.0,1646.0,1653.0,3813.1431,6539231.2914,34826
1748390400000,2025-05-28,MKRUSDT,1680.0,1716.0,1650.0,1716.0,3385.5253,5698679.5935,30662
1748304000000,2025-05-27,MKRUSDT,1624.0,1717.0,1598.0,1681.0,2535.7627,4230501.7717,19891
1748217600000,2025-05-26,MKRUSDT,1646.0,1669.0,1611.0,1624.0,1532.5212,2512768.6912,10871
1748131200000,2025-05-25,MKRUSDT,1652.0,1655.0,1598.0,1646.0,2035.3483,3299003.2907,13934
1748044800000,2025-05-24,MKRUSDT,1635.0,1681.0,1630.0,1651.0,2583.2284,4297396.0927,16032
1747958400000,2025-05-23,MKRUSDT,1749.0,1819.0,1618.0,1634.0,6716.8061,11513059.2911,43463
1747872000000,2025-05-22,MKRUSDT,1743.0,1823.0,1720.0,1749.0,4975.9904,8766573.8078,33970
1747785600000,2025-05-21,MKRUSDT,1727.0,1794.0,1688.0,1743.0,4930.3297,8580483.2909,36469
1747699200000,2025-05-20,MKRUSDT,1734.0,1799.0,1680.0,1727.0,5120.6922,8910240.1842,47840
1747612800000,2025-05-19,MKRUSDT,1745.0,1750.0,1630.0,1733.0,4769.8261,8020870.3162,34983
1747526400000,2025-05-18,MKRUSDT,1728.0,1801.0,1649.0,1745.0,3488.656,6060963.9359,42789
1747440000000,2025-05-17,MKRUSDT,1804.0,1810.0,1713.0,1727.0,3233.8975,5655606.2026,32986
1747353600000,2025-05-16,MKRUSDT,1814.0,1915.0,1792.0,1804.0,3404.1782,6308270.7307,34429
1747267200000,2025-05-15,MKRUSDT,1876.0,1905.0,1754.0,1813.0,4702.141,8543331.454,46328
1747180800000,2025-05-14,MKRUSDT,1891.0,1962.0,1822.0,1876.0,5676.8529,10799267.1932,66087
1747094400000,2025-05-13,MKRUSDT,1792.0,1918.0,1719.0,1891.0,5874.0436,10596478.1194,59153
1747008000000,2025-05-12,MKRUSDT,1822.0,1885.0,1734.0,1791.0,6573.0204,11951806.0122,57183
1746921600000,2025-05-11,MKRUSDT,1872.0,1890.0,1775.0,1823.0,5123.1584,9391406.0507,49271
1746835200000,2025-05-10,MKRUSDT,1738.0,1899.0,1709.0,1872.0,6090.446,10923798.8446,56736
1746748800000,2025-05-09,MKRUSDT,1706.0,1831.0,1687.0,1737.0,8635.8573,15083311.3787,85128
1746662400000,2025-05-08,MKRUSDT,1515.0,1730.0,1510.0,1707.0,10250.5406,16722709.3218,82499
1746576000000,2025-05-07,MKRUSDT,1473.0,1524.0,1444.0,1514.0,4127.2051,6115446.3849,27776
1746489600000,2025-05-06,MKRUSDT,1551.0,1557.0,1422.0,1472.0,6083.4645,9048783.0925,30212
1746403200000,2025-05-05,MKRUSDT,1526.0,1564.0,1513.0,1551.0,3338.1967,5136457.9433,22722
1746316800000,2025-05-04,MKRUSDT,1503.0,1550.0,1491.0,1527.0,2883.5887,4384209.2918,23926
1746230400000,2025-05-03,MKRUSDT,1572.0,1572.0,1494.0,1504.0,3354.96,5149858.3811,28712
1746144000000,2025-05-02,MKRUSDT,1521.0,1574.0,1502.0,1571.0,4212.892,6501732.5501,40005
1746057600000,2025-05-01,MKRUSDT,1477.0,1578.0,1467.0,1521.0,5606.3096,8551133.9238,53388
1745971200000,2025-04-30,MKRUSDT,1530.0,1541.0,1443.0,1477.0,4777.6963,7108535.8036,34821
1745884800000,2025-04-29,MKRUSDT,1532.0,1570.0,1503.0,1530.0,6066.4539,9347965.6491,52054
1745798400000,2025-04-28,MKRUSDT,1476.0,1532.0,1451.0,1532.0,4262.6473,6352562.4808,34698
1745712000000,2025-04-27,MKRUSDT,1527.0,1556.0,1464.0,1476.0,3036.9982,4547565.2081,26444
1745625600000,2025-04-26,MKRUSDT,1487.0,1532.0,1473.0,1527.0,3114.2525,4684970.5084,24120
